Blogs Name,Links
Lava Z50 is the company’s first Android Oreo (Go edition) phone,https://androidos.in/2018/02/27/lava-z50-android-go-edition-phone/
HTC 10 getting Android 8.0 Oreo update in India,https://androidos.in/2018/02/27/htc-10-android-8-0-oreo-update/
Samsung resumes Android Oreo update roll-out for Galaxy S8 and S8+,https://androidos.in/2018/02/22/samsung-galaxy-s8-s8-plus-android-8-0-oreo-update/
Honor 9 Lite gets Face Unlock support with latest update,https://androidos.in/2018/02/21/honor-9-lite-face-unlock-update/
"OnePlus to set up more experience stores, expand availability via Croma",https://androidos.in/2018/02/16/more-oneplus-experience-stores-india/
"Karbonn unveils Titanium Jumbo 2 smartphone with INR 5,999 price-tag",https://androidos.in/2018/02/16/karbonn-titanium-jumbo-2-india-launch/
"Best smartphones in India under INR 15,000 – Buying Guide",https://androidos.in/2018/02/16/best-phones-under-rs-15000/
"Moto Z2 Force with shatterproof display reaches India, priced at INR 34,999",https://androidos.in/2018/02/16/moto-z2-force-india-launch/
"Nokia 6 gets a 4GB RAM variant in India, priced at INR 16,999",https://androidos.in/2018/02/15/nokia-6-4gb-ram-variant-india-launch/
Amazon brings Alexa-to-Alexa calling & multi-room music to India,https://androidos.in/2018/02/15/alexa-to-alexa-calling-multi-room-music-india/
"Amazon is now selling Echo via offline stores in India, no invites required",https://androidos.in/2018/02/15/amazon-echo-offline-sales-india/
"Xiaomi launches Mi TV 4 in India, priced at INR 39,999",https://androidos.in/2018/02/14/xiaomi-mi-tv-4-india-launch-price/
"Xiaomi unveils Redmi Note 5, Redmi Note 5 Pro with 5.99-inch screen",https://androidos.in/2018/02/14/xiaomi-redmi-note-5-redmi-note-5-pro/
"Intex Aqua Lions T1 Lite launched in India at INR 3,899",https://androidos.in/2018/02/12/intex-aqua-lions-t1-lite-india-launch/
"Oppo A71 (2018) launched in India at INR 9,990",https://androidos.in/2018/02/12/oppo-a71-3gb-2018-india-launch/
Xiaomi is bringing Mi TV 4 to India,https://androidos.in/2018/02/12/xiaomi-mi-tv-4-india-launch/
WhatsApp will soon let you send cash to friends with UPI,https://androidos.in/2018/02/08/whatsapp-will-soon-let-you-send-cash-to-friends-with-upi/
"Panasonic P100 with 5-inch HD screen to retail starting INR 5,299",https://androidos.in/2018/02/07/panasonic-p100-india-launch/
Xiaomi India Feb 14 press event: Redmi Note 5 launch expected,https://androidos.in/2018/02/07/xiaomi-india-hosting-a-press-event-on-feb-14-redmi-5-launch-expected/
Honor 7X launched in India (Update: Offline sales start Feb 9),https://androidos.in/2018/02/07/honor-7x-india-launch/
"Infinix Hot S3 launched in India, price starts at INR 8999",https://androidos.in/2018/02/06/infinix-hot-s3-india-launch/
"HTC U11+ launched in India at INR 56,990",https://androidos.in/2018/02/06/htc-u11-plus-india-launch/
Intex Elyt Dual launched in India (Update: Royal Red Limited Edition unveiled),https://androidos.in/2018/02/05/intex-elyt-dual-india-launch/
"Sony Xperia L2 launched in India at INR 19,990",https://androidos.in/2018/02/05/sony-xperia-l2-india-launch/
